,CETCode,College,Location
132,E160,Sahyadri College of Engg. and Management,"Mangalore, Dakshina Kannada"
133,E161,Government Engineering College,Kodagu
134,E162,Government Engineering College,Raichur
135,E163,Government Engineering College,"Devagiri,Haveri"
136,E164,Government Engineering College,Bellary
137,E165,Yenepoya Institute of Technology,"Thodar, Moodbidri, Dakshina Kannada"
138,E166,K L E Institute of Technology,Hubli
139,E167,K L E Ss K L E College of Engineering and Technology,"Chikkodi, Belgaum"
140,E168,Amrutha Institute of Engineering and Mangement,"Bidadi,Bengaluru"
141,E169,Alva`s Institute of Engineering and Technology,"Moodabidri, Dakshina Kannada"
142,E171,Brindavan College of Engineering,"Yelahanka,Bengaluru"
143,E172,R.R.Institute of Technology,"Chikkabavanara,Bengaluru"
144,E173,Sai Vidya Institute of Technology,"Rajanukunte, Bengaluru"
145,E174,Dr. Sri. Sri. Sri. Shivakumara Mahaswamyji College of Engineering,"Kammasandra, Bengaluru Rural"
146,E175,S.G.Balekundri Institute of Technology,Belgaum
147,E176,Navodaya Institute of Technology,Raichur
148,E177,Rajeev Institute of Technology,"Bommanayankanahally, Hassan"
149,E178,NIE Institute of Technology,Mysore
150,E180,Bearys Institute of Technology,"Mangalore, Dakshina Kannada"
151,E181,Sri Basaveswara Institute of Technology,"Tiptur, Tumkur"
152,E184,C Byre Gowda Institute of Technology,Kolar
153,E185,Angadi Institute of Technology and Management,Belgaum
154,E186,ACS College of Engineering,"Kengeri Hobli,Bengaluru"
155,E188,Vijaya Vittala Institute of Technology,"Kothanur, Bengaluru"
156,E189,NDRK Institute of Technology,"Kandali, Hassan"
157,E191,Akshaya Institute of Technology,Tumkur
158,E193,Srinivas University,"Mukka, Mangalore, Dakshina Kannada"
159,E194,Government Engineering College,Karwar
160,E195,Ekalavya Institute of Technology,Chamrajnagar
161,E196,Jain College of Engineering,Belgaum
162,E197,Veerappa Nisty Engineering College,Yadagiri
163,E198,Sharnbasva University (Formerly Godutai College for Women),Gulbarga
164,E199,AGM Rural Engineering College,Hubli
165,E201,Gopalan College of Engineering and Management,"White field,Bengaluru"
166,E202,Sampoorna Institute of Technology and Research,Ramanagara
167,E203,KS School of Engineering And Management,"Mallasandra,Bengaluru"
168,E204,Bangalore Technological Institute,"Sarjapura Rd, Bengaluru"
169,E205,ATME College of Engineering,"Varun hobli,Mysore"
170,E206,Shri Madhwa Vadiraja Institute of Technology and Management,Udupi
171,E207,VSMs Somashekar R Kothiwale Institute of Technology,"Nippani, Belgaum"
172,E208,Achutha Institute of Technology,"Yelahanka, Bengaluru"
173,E209,Jyothi Institute of Technology,"Thathaguni, Bengaluru"
174,E210,G Madegowda Institute of Technology,"Maddur , Mandya"
175,E211,Jain Institute of Technology,Davanagere
176,E212,Dayananda Sagar Academy of Technology,"Kanakapur,Bengaluru"
177,E213,Lingarajappa Engineering College,Bidar
178,E216,Shetty Institute of Technology,Gulbarga
179,E219,Mangalore Marine College and Technology,Mangalore
180,E220,Alliance University,"Anekal, Bengaluru"
181,E221,Biluru Gurubasava Mahaswamiji Institute of Technology,"Mudhol,Bagalkot"
182,E222,Cambridge Institutute of Technology,"Devanahalli,Bengaluru"
183,E227,Cauvery Institute of Technology,Mandya
184,E232,Reva University,"Yelahanka, Bengaluru"
185,E233,Jain Acharya Gundharnandi Maharaj Institute of Technology,"Jamkhandi, Bagalkot"
186,E235,MS Ramaiah University of Applied Sciences,"New BEL Rd, MSR Nagar, Bengaluru"
187,E237,Presidency University,"Yelahanka,Bengaluru"
188,E238,Mysuru Royal Institute of Technology,Mandya
189,E239,East West College of Engineering,"Yelahanka,Bengaluru"
190,E240,Dayananda Sagar University,"Hosur,Bengaluru"
191,E241,KLE Technological University(Formerly BVBCET),Dharwad
192,E252,Mysore College of Engineering and Management,Mysore
193,E254,AJ Institute Of Engineering And Technology,"Mangalore, Dakshina Kannada"
194,E255,Gitam School Of Technology,"Doddaballapura, Bengaluru Rura"
195,E257,CMR University,"Chagalatti, Bengaluru"
196,E258,Maharaja Institute of Technology,"Thandavapura, Mysore"
197,E260,Nitte School of Architecture,"Yelahanka,Bengaluru"
198,E264,Basava Engineering School of Technology,"Zalaki, Bijapur"
199,E265,Jain College of Engineering and Technology,Hubli
200,E269,Jain College of Engineering and Research,"Udyambhag, Belgaum"
201,E272,Government Engineering College,"Talakal,Koppal"
202,E273,Government Engineering College,"Viprasainagar, Gangavathi, Koppal"
203,E274,Government Engineering College,"Moselehosahalli,Hassan"
204,E275,RV Institute of Technology and Management,"JP nagar,Bengaluru"
205,E278,Visvesvaraya Technological University (VTU),"Muddenahalli,Chickkaballapur"
206,E279,Visvesvaraya Technological University (VTU),Belgaum
